hour,traffic
0,16.24
1,15.70
2,17.21
3,23.09
4,18.81
5,34.90
6,17.37
7,18.67
8,35.44
9,48.48
10,55.92
11,73.54
12,92.62
13,95.13
14,91.57
15,93.18
16,92.90
17,69.90
18,76.19
19,79.56
20,73.93
21,67.69
22,48.87
23,44.86
24,23.72
25,16.35
26,16.66
27,15.11
28,26.02
29,17.49
30,21.86
31,29.75
32,26.49
33,38.19
34,41.84
35,62.03
36,80.65
37,98.18
38,107.27
39,96.26
40,88.75
41,79.57
42,82.50
43,83.40
44,77.47
45,57.28
46,50.81
47,33.22
48,27.36
49,19.83
50,31.75
51,17.94
52,29.87
53,21.58
54,19.19
55,18.49
56,29.92
57,48.49
58,57.79
59,72.66
60,69.80
61,99.96
62,103.45
63,93.07
64,83.42
65,78.55
66,86.34
67,71.71
68,73.26
69,71.52
70,42.71
71,28.74
72,20.59
73,12.56
74,21.35
75,12.84
76,25.62
77,20.91
78,35.99
79,26.94
80,39.02
81,32.13
82,52.16
83,70.46
84,94.53
85,85.60
86,106.06
87,99.92
88,96.39
89,82.84
90,76.31
91,74.91
92,68.34
93,64.52
94,44.24
95,43.05
96,16.34
97,21.93
98,10.61
99,17.72
100,21.88
101,25.83
102,30.97
103,24.99
104,24.12
105,42.70
106,55.99
107,71.47
108,79.86
109,102.49
110,100.64
111,100.57
112,94.83
113,82.22
114,77.71
115,90.96
116,77.29
117,61.57
118,46.06
119,39.83
120,14.71
121,17.12
122,21.19
123,10.99
124,3.86
125,16.42
126,16.98
127,14.03
128,26.81
129,31.61
130,31.05
131,51.08
132,57.67
133,58.08
134,72.80
135,67.19
136,56.56
137,58.13
138,56.12
139,51.16
140,55.48
141,50.44
142,27.50
143,23.94
144,14.02
145,27.60
146,2.84
147,18.24
148,12.38
149,14.02
150,27.01
151,17.63
152,35.02
153,25.31
154,39.13
155,45.02
156,54.70
157,67.36
158,68.38
159,68.68
160,48.40
161,67.01
162,52.19
163,65.09
164,47.04
165,46.10
166,50.76
167,16.43
